iter	Passed	Remaining
972	345668	9592
973	345998	9236
974	346326	8880
975	346669	8524
976	347013	8169
977	347329	7813
978	347665	7457
979	347995	7101
980	348287	6745
981	348578	6389
982	348873	6033
983	349186	5677
984	349495	5322
985	349821	4967
986	350161	4612
987	350505	4257
988	350828	3902
989	351142	3546
990	351460	3191
991	351769	2836
992	352068	2481
993	352370	2126
994	352648	1772
995	352964	1417
996	353295	1063
997	353623	708
998	353950	354
999	354249	0
